Found NXT: mina 00165305C1A6
leJOS NXJ> Connected to mina
Connected to mina 00165305C1A6
Console open
Marca 1 con altura 119
Marca 1 con altura 119
Marca 1 con altura 113
Marca 1 con altura 113
Marca 1 con altura 122
Marca 1 con altura 122
Marca 1 con altura 116
Marca 1 con altura 116
Marca 1 con altura 122
Marca 1 con altura 119
Marca 1 con altura 122
Marca 1 con altura 113
Marca 1 con altura 122
Marca 2 con altura 125
Marca 1 con altura 119
Marca 1 con altura 113
Marca 1 con altura 119
Marca 1 con altura 122
Marca 1 con altura 119
Marca 1 con altura 122
Marca 1 con altura 119
Marca 1 con altura 122
Marca 1 con altura 122
Marca 1 con altura 113
Marca 1 con altura 122
Marca 1 con altura 119
Marca 1 con altura 119
Marca 1 con altura 122
Marca 1 con altura 119
Marca 1 con altura 119
Marca 1 con altura 119
Marca 1 con altura 119
Marca 1 con altura 119
Marca 1 con altura 122
Marca 1 con altura 119
Marca 1 con altura 119
Marca 1 con altura 119
Marca 2 con altura 119
Marca 1 con altura 119
Marca 1 con altura 122
Marca 1 con altura 119
Marca 1 con altura 122
Marca 1 con altura 119
Marca 2 con altura 119
Marca 1 con altura 122
Marca 1 con altura 116
Marca 2 con altura 122
Marca 1 con altura 92
Marca 1 con altura 95
Marca 1 con altura 92
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 92
Marca 1 con altura 83
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 4 con altura 95
Marca 4 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 4 con altura 83
Marca 3 con altura 77
Marca 1 con altura 95
Marca 4 con altura 95
Marca 5 con altura 26
Marca 1 con altura 95
Marca 4 con altura 95
Marca 1 con altura 95
Marca 1 con altura 92
Marca 1 con altura 95
Marca 1 con altura 95
Marca 2 con altura 92
Marca 1 con altura 95
Marca 4 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 4 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 92
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 4 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 4 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 80
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 95
Marca 1 con altura 92
Marca 1 con altura 95
Marca 1 con altura 95
Marca 4 con altura 95
Marca 1 con altura 89
Marca 1 con altura 92
Marca 4 con altura 95
Marca 1 con altura 95
Marca 1 con altura 77
Marca 1 con altura 89
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 83
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 62
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 4 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 68
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 74
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 80
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 65
Marca 1 con altura 95
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 74
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 77
Marca 1 con altura 74
Got exception during close: java.io.IOException: Error in write
